tconst,primaryTitle,numVotes,movieId,imdbId,tmdbId
tt2488496,Star Wars: Episode VII - The Force Awakens,988560,122886,tt2488496,140607.0
tt1201607,Harry Potter and the Deathly Hallows: Part 2,975024,88125,tt1201607,12445.0
tt0095016,Die Hard,967141,1036,tt0095016,562.0
tt1675434,The Intouchables,956006,92259,tt1675434,77338.0
tt0075314,Taxi Driver,954310,111,tt0075314,103.0
tt3659388,The Martian,951270,134130,tt3659388,286217.0
tt0088247,The Terminator,948034,1240,tt0088247,218.0
tt2395427,Avengers: Age of Ultron,943770,122892,tt2395427,99861.0
tt0253474,The Pianist,943479,5995,tt0253474,423.0
tt0086250,Scarface,943365,4262,tt0086250,111.0
tt0208092,Snatch,930264,4011,tt0208092,107.0
tt0180093,Requiem for a Dream,921948,3949,tt0180093,641.0
tt10872600,Spider-Man: No Way Home,919786,263007,tt10872600,634649.0
tt1160419,Dune: Part One,919785,254726,tt1160419,438631.0
tt0800369,Thor,918487,86332,tt0800369,10195.0
tt1843866,Captain America: The Winter Soldier,918024,110102,tt1843866,100402.0
tt1300854,Iron Man 3,917815,102125,tt1300854,68721.0
tt0458339,Captain America: The First Avenger,916189,88140,tt0458339,1771.0
tt0435761,Toy Story 3,914974,78499,tt0435761,10193.0
tt2278388,The Grand Budapest Hotel,908775,109374,tt2278388,120467.0
tt0145487,Spider-Man,904519,5349,tt0145487,557.0
tt0066921,A Clockwork Orange,898829,1206,tt0066921,185.0
tt0050083,12 Angry Men,897749,1203,tt0050083,389.0
tt1663202,The Revenant,895272,139385,tt1663202,281957.0
tt0903624,The Hobbit: An Unexpected Journey,891372,98809,tt0903624,49051.0
tt1010048,Slumdog Millionaire,887637,63082,tt1010048,12405.0
tt1228705,Iron Man 2,887601,77561,tt1228705,10138.0
tt0245429,Spirited Away,883566,5618,tt0245429,129.0
tt0241527,Harry Potter and the Sorcerer's Stone,883106,4896,tt0241527,671.0
tt7131622,Once Upon a Time... in Hollywood,880984,202429,tt7131622,466272.0
tt0416449,300,879579,51662,tt0416449,1271.0
tt0120915,Star Wars: Episode I - The Phantom Menace,877521,2628,tt0120915,1893.0
tt0118715,The Big Lebowski,877455,1732,tt0118715,115.0
tt1454468,Gravity,874299,104841,tt1454468,49047.0
tt3498820,Captain America: Civil War,872303,122920,tt3498820,271110.0
tt3315342,Logan,870631,168252,tt3315342,263115.0
tt1119646,The Hangover,869207,69122,tt1119646,18785.0
tt0246578,Donnie Darko,868798,4878,tt0246578,141.0
tt0121766,Star Wars: Episode III - Revenge of the Sith,864760,33493,tt0121766,1895.0
tt0382932,Ratatouille,859836,50872,tt0382932,2062.0
tt1825683,Black Panther,857608,122906,tt1825683,284054.0
tt0947798,Black Swan,844387,81591,tt0947798,44214.0
tt1392214,Prisoners,844054,104879,tt1392214,146233.0
tt2096673,Inside Out,843455,134853,tt2096673,150540.0
tt1877830,The Batman,843439,268642,tt1877830,414906.0
tt2084970,The Imitation Game,841380,116797,tt2084970,205596.0
tt0083658,Blade Runner,840679,541,tt0083658,78.0
tt3501632,Thor: Ragnarok,838289,122916,tt3501632,284053.0
tt0480249,I Am Legend,836156,56174,tt0480249,6479.0
tt0317705,The Incredibles,835312,8961,tt0317705,9806.0
tt0060196,"The Good, the Bad and the Ugly",833782,1201,tt0060196,429.0
tt1205489,Gran Torino,828301,64614,tt1205489,13223.0
tt1211837,Doctor Strange,827278,122922,tt1211837,284052.0
tt0097576,Indiana Jones and the Last Crusade,826294,1291,tt0097576,89.0
tt0378194,Kill Bill: Vol. 2,824729,7438,tt0378194,393.0
tt0770828,Man of Steel,824259,103042,tt0770828,49521.0
tt0892769,How to Train Your Dragon,824197,76093,tt0892769,10191.0
tt15398776,Oppenheimer,823582,287699,tt15398776,872585.0
tt0317248,City of God,821507,6016,tt0317248,598.0
tt0093058,Full Metal Jacket,808724,1222,tt0093058,600.0
tt0211915,Amélie,808303,4973,tt0211915,194.0
tt0401792,Sin City,801450,32587,tt0401792,187.0
tt8946378,Knives Out,798175,207313,tt8946378,546554.0
tt2543164,Arrival,796988,164179,tt2543164,329865.0
tt0090605,Aliens,794122,1200,tt0090605,679.0
tt0383574,Pirates of the Caribbean: Dead Man's Chest,784834,45722,tt0383574,58.0
tt3896198,Guardians of the Galaxy Vol. 2,779517,122918,tt3896198,283995.0
tt1285016,The Social Network,776279,80463,tt1285016,37799.0
tt0121765,Star Wars: Episode II - Attack of the Clones,776139,5378,tt0121765,1894.0
tt2975590,Batman v Superman: Dawn of Justice,763114,136864,tt2975590,209112.0
tt0118799,Life Is Beautiful,762083,2324,tt0118799,637.0
tt2911666,John Wick,762000,115149,tt2911666,245891.0
tt1877832,X-Men: Days of Future Past,761312,111362,tt1877832,127585.0
tt5013056,Dunkirk,758884,174055,tt5013056,374720.0
tt1631867,Edge of Tomorrow,758530,111759,tt1631867,137113.0
tt0126029,Shrek,756414,4306,tt0126029,808.0
tt2024544,12 Years a Slave,754279,105844,tt2024544,76203.0
tt0144084,American Psycho,754053,3535,tt0144084,1359.0
tt1045658,Silver Linings Playbook,752293,97921,tt1045658,82693.0
tt1745960,Top Gun: Maverick,744366,274053,tt1745960,361743.0
tt1074638,Skyfall,743158,96079,tt1074638,37724.0
tt0116282,Fargo,741464,608,tt0116282,275.0
tt2250912,Spider-Man: Homecoming,740930,122926,tt2250912,202249.0
tt0816711,World War Z,740926,103249,tt0816711,72190.0
tt1981115,Thor: The Dark World,739951,106072,tt1981115,76338.0
tt0117951,Trainspotting,739679,778,tt0117951,627.0
tt0062622,2001: A Space Odyssey,739483,924,tt0062622,62.0
tt1270798,X-Men: First Class,738882,87232,tt1270798,49538.0
tt0113277,Heat,738856,6,tt0113277,949.0
tt0054215,Psycho,738846,1219,tt0054215,539.0
tt5052448,Get Out,738689,168250,tt5052448,419430.0
tt0478970,Ant-Man,738618,122900,tt0478970,102899.0
tt2802144,Kingsman: The Secret Service,737538,119145,tt2802144,207703.0
tt1951264,The Hunger Games: Catching Fire,736231,106487,tt1951264,101299.0
tt0405159,Million Dollar Baby,735072,30707,tt0405159,70.0
tt1386697,Suicide Squad,733643,135536,tt1386697,297761.0
tt0316654,Spider-Man 2,730338,8636,tt0316654,558.0
tt0078788,Apocalypse Now,728131,1208,tt0078788,28.0
tt1136608,District 9,728026,70286,tt1136608,17654.0
tt1670345,Now You See Me,724437,102903,tt1670345,75656.0
tt0780504,Drive,723021,88129,tt0780504,64690.0
tt1170358,The Hobbit: The Desolation of Smaug,721554,106489,tt1170358,57158.0
tt0948470,The Amazing Spider-Man,720174,95510,tt0948470,1930.0
tt1504320,The King's Speech,715814,81845,tt1504320,45269.0
tt0457430,Pan's Labyrinth,715458,48394,tt0457430,1417.0
tt0295297,Harry Potter and the Chamber of Secrets,712774,5816,tt0295297,672.0
tt0304141,Harry Potter and the Prisoner of Azkaban,712578,8368,tt0304141,673.0
tt0451279,Wonder Woman,710978,143355,tt0451279,297762.0
tt0421715,The Curious Case of Benjamin Button,710674,64957,tt0421715,4922.0
tt0449088,Pirates of the Caribbean: At World's End,708598,53125,tt0449088,285.0
tt0381061,Casino Royale,708439,49272,tt0381061,36557.0
tt8579674,1917,706207,208703,tt8579674,530915.0
tt4633694,Spider-Man: Into the Spider-Verse,704959,195159,tt4633694,324857.0
tt3748528,Rogue One: A Star Wars Story,702585,166528,tt3748528,330459.0
tt0107048,Groundhog Day,701703,1265,tt0107048,137.0
tt0330373,Harry Potter and the Goblet of Fire,701137,40815,tt0330373,674.0
tt3783958,La La Land,699461,164909,tt3783958,313369.0
tt5463162,Deadpool 2,694022,187593,tt5463162,383498.0
tt1856101,Blade Runner 2049,693307,176371,tt1856101,335984.0
tt0369610,Jurassic World,692030,117529,tt0369610,135397.0
tt1798709,Her,688933,106920,tt1798709,152601.0
tt0418279,Transformers,687869,53996,tt0418279,1858.0
tt2527336,Star Wars: Episode VIII - The Last Jedi,685441,179819,tt2527336,181808.0
tt0988045,Sherlock Holmes,682626,73017,tt0988045,10528.0
tt0073195,Jaws,681001,1387,tt0073195,578.0
tt2294629,Frozen,677647,106696,tt2294629,109445.0
tt0454876,Life of Pi,677417,97938,tt0454876,87827.0
tt3460252,The Hateful Eight,677135,128360,tt3460252,273248.0
tt2562232,Birdman or (The Unexpected Virtue of Ignorance),676216,112183,tt2562232,194662.0
tt0099785,Home Alone,672286,586,tt0099785,771.0
tt1637725,Ted,671935,95441,tt1637725,72105.0
tt0758758,Into the Wild,669722,55247,tt0758758,5915.0
tt1446714,Prometheus,668372,94864,tt1446714,70981.0
tt0440963,The Bourne Ultimatum,666259,54286,tt0440963,2503.0
tt0120903,X-Men,665109,3793,tt0120903,36657.0
tt0364569,Oldboy,659167,27773,tt0364569,670.0
tt0114746,12 Monkeys,657178,32,tt0114746,63.0
tt0469494,There Will Be Blood,657080,56782,tt0469494,7345.0
tt0413300,Spider-Man 3,655417,52722,tt0413300,559.0
tt0162222,Cast Away,653910,4022,tt0162222,8358.0
tt0373889,Harry Potter and the Order of the Phoenix,651495,54001,tt0373889,675.0
tt0829482,Superbad,651018,54503,tt0829482,8363.0
tt0075148,Rocky,646836,1954,tt0075148,1366.0
tt1024648,Argo,646823,97304,tt1024648,68734.0
tt0936501,Taken,646684,59369,tt0936501,8681.0
tt0234215,The Matrix Reloaded,643365,6365,tt0234215,604.0
tt0332280,The Notebook,640603,8533,tt0332280,11036.0
tt1156398,Zombieland,636293,71535,tt1156398,19908.0
tt0120363,Toy Story 2,634622,3114,tt0120363,863.0
tt0240772,Ocean's Eleven,634415,4963,tt0240772,161.0
tt3890160,Baby Driver,634264,171763,tt3890160,339403.0
tt0119488,L.A. Confidential,632064,1617,tt0119488,2118.0
tt1396484,It,630402,175303,tt1396484,346364.0
tt0119654,Men in Black,628019,1580,tt0119654,607.0
tt0120735,"Lock, Stock and Two Smoking Barrels",627128,2542,tt0120735,100.0
tt0796366,Star Trek,625798,68358,tt0796366,13475.0
tt4154664,Captain Marvel,625662,122910,tt4154664,299537.0
tt2380307,Coco,625493,177765,tt2380307,354912.0
tt11286314,Don't Look Up,624430,263407,tt11286314,646380.0
tt2872718,Nightcrawler,623215,115569,tt2872718,242582.0
tt1219289,Limitless,622309,84152,tt1219289,51876.0
tt0034583,Casablanca,620425,912,tt0034583,289.0
tt0443706,Zodiac,620289,51540,tt0443706,1949.0
tt0116629,Independence Day,619232,780,tt0116629,602.0
tt2119532,Hacksaw Ridge,618910,163645,tt2119532,324786.0
tt0926084,Harry Potter and the Deathly Hallows: Part 1,616896,81834,tt0926084,12444.0
tt6644200,A Quiet Place,614837,185029,tt6644200,447332.0
tt6723592,Tenet,613962,217465,tt6723592,577922.0
tt0417741,Harry Potter and the Half-Blood Prince,613259,69844,tt0417741,767.0
tt1232829,21 Jump Street,613018,93510,tt1232829,64688.0
tt1276104,Looper,611819,96610,tt1276104,59967.0
tt1343092,The Great Gatsby,611440,102407,tt1343092,64682.0
tt1727824,Bohemian Rhapsody,610522,192803,tt1727824,424694.0
tt0365748,Shaun of the Dead,610041,8874,tt0365748,747.0
tt6966692,Green Book,608496,194448,tt6966692,490132.0
tt0470752,Ex Machina,607730,115713,tt0470752,264660.0
tt1250777,Kick-Ass,603221,76251,tt1250777,23483.0
tt1323594,Despicable Me,600009,79091,tt1323594,20352.0
tt0450259,Blood Diamond,598512,49530,tt0450259,1372.0
tt0181689,Minority Report,594951,5445,tt0181689,180.0
tt0409459,Watchmen,591916,60684,tt0409459,13183.0
tt0290334,X2: X-Men United,590143,6333,tt0290334,36658.0
tt0343818,"I, Robot",587947,8644,tt0343818,2048.0
tt0096874,Back to the Future Part II,587630,2011,tt0096874,165.0
tt0258463,The Bourne Identity,587476,5418,tt0258463,2501.0
tt2310332,The Hobbit: The Battle of the Five Armies,587382,118696,tt2310332,122917.0
tt1318514,Rise of the Planet of the Apes,586681,88744,tt1318514,61791.0
tt0332452,Troy,583856,7458,tt0332452,652.0
tt0071853,Monty Python and the Holy Grail,580310,1136,tt0071853,762.0
tt1570728,"Crazy, Stupid, Love.",580074,88163,tt1570728,50646.0
tt6320628,Spider-Man: Far from Home,579682,201773,tt6320628,429617.0
tt0112641,Casino,579513,16,tt0112641,524.0
tt1517268,Barbie,578507,288513,tt1517268,346698.0
tt0454921,The Pursuit of Happyness,578486,47099,tt0454921,1402.0
tt1022603,500 Days of Summer,577335,69757,tt1022603,19913.0
tt4972582,Split,577088,166534,tt4972582,381288.0
tt1298650,Pirates of the Caribbean: On Stranger Tides,576519,86880,tt1298650,1865.0
tt10811166,The Kashmir Files,575540,272085,tt10811166,900783.0
tt1457767,The Conjuring,573569,103688,tt1457767,138843.0
tt0097165,Dead Poets Society,571827,1246,tt0097165,207.0
tt5027774,"Three Billboards Outside Ebbing, Missouri",569889,177593,tt5027774,359940.0
tt2948356,Zootopia,566237,152081,tt2948356,269149.0
tt2713180,Fury,565279,115210,tt2713180,228150.0
tt1483013,Oblivion,563191,101864,tt1483013,75612.0
tt1270797,Venom,562363,192389,tt1270797,335983.0
tt1659337,The Perks of Being a Wallflower,561053,96821,tt1659337,84892.0
tt0945513,Source Code,560830,85414,tt0945513,45612.0
tt6710474,Everything Everywhere All at Once,560689,270698,tt6710474,545611.0
tt0467406,Juno,557365,56367,tt0467406,7326.0
tt0095953,Rain Man,556537,1961,tt0095953,380.0
tt0356910,Mr. & Mrs. Smith,555777,33679,tt0356910,787.0
tt0242653,The Matrix Revolutions,553648,6934,tt0242653,605.0
tt0376994,X-Men: The Last Stand,553569,45499,tt0376994,36668.0
tt1872181,The Amazing Spider-Man 2,552936,110553,tt1872181,102382.0
tt0458525,X-Men Origins: Wolverine,548192,68319,tt0458525,2080.0
tt2872732,Lucy,547535,111360,tt2872732,240832.0
tt1411697,The Hangover Part II,547020,86911,tt1411697,45243.0
tt0425112,Hot Fuzz,545917,51255,tt0425112,4638.0
tt0087469,Indiana Jones and the Temple of Doom,544571,2115,tt0087469,87.0
tt0367594,Charlie and the Chocolate Factory,542436,30793,tt0367594,118.0
tt0314331,Love Actually,541997,6942,tt0314331,508.0
tt2179136,American Sniper,541633,114662,tt2179136,190859.0
tt0206634,Children of Men,540253,48774,tt0206634,9693.0
tt1663662,Pacific Rim,539700,103228,tt1663662,68726.0
tt0441773,Kung Fu Panda,538850,59784,tt0441773,9502.0
tt0099487,Edward Scissorhands,538775,2291,tt0099487,162.0
tt1229238,Mission: Impossible - Ghost Protocol,536740,91630,tt1229238,56292.0
tt0047396,Rear Window,536321,904,tt0047396,567.0
tt0800080,The Incredible Hulk,534415,60040,tt0800080,1724.0
tt0268380,Ice Age,533145,5218,tt0268380,425.0
tt0289879,The Butterfly Effect,532495,7254,tt0289879,1954.0
tt1477834,Aquaman,531448,143347,tt1477834,297802.0
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,530417,750,tt0057012,935.0
tt0449059,Little Miss Sunshine,528996,46578,tt0449059,773.0
tt4425200,John Wick: Chapter 2,528151,168248,tt4425200,324552.0
tt0790636,Dallas Buyers Club,527941,106100,tt0790636,152532.0
tt1790864,The Maze Runner,525546,114180,tt1790864,198663.0
tt1979320,Rush,525192,104913,tt1979320,96721.0
tt0448157,Hancock,521883,60074,tt0448157,8960.0
tt0298148,Shrek 2,519214,8360,tt0298148,809.0
tt0119116,The Fifth Element,518588,1527,tt0119116,18.0
tt1630029,Avatar: The Way of Water,518162,280218,tt1630029,76600.0
tt2245084,Big Hero 6,518021,115617,tt2245084,177572.0
tt3183660,Fantastic Beasts and Where to Find Them,517582,135143,tt3183660,259316.0
tt0092099,Top Gun,516808,1101,tt0092099,744.0
tt1951265,The Hunger Games: Mockingjay - Part 1,515283,116823,tt1951265,131631.0
tt0038650,It's a Wonderful Life,512171,953,tt0038650,1585.0
tt1895587,Spotlight,511210,142488,tt1895587,314365.0
tt0398286,Tangled,509882,81847,tt0398286,38757.0
tt2527338,Star Wars: Episode IX - The Rise of Skywalker,507409,208205,tt2527338,181812.0
tt1291584,Warrior,507133,89774,tt1291584,59440.0
tt0362227,The Terminal,506732,8529,tt0362227,594.0
tt1568346,The Girl with the Dragon Tattoo,506139,91658,tt1568346,65754.0
tt1800241,American Hustle,505850,106916,tt1800241,168672.0
tt1430132,The Wolverine,505773,103772,tt1430132,76170.0
tt1454029,The Help,504114,88810,tt1454029,50014.0
tt1677720,Ready Player One,503938,140956,tt1677720,333339.0
tt1950186,Ford v Ferrari,503802,203375,tt1950186,359724.0
tt0335266,Lost in Translation,503551,6711,tt0335266,153.0
tt1535109,Captain Phillips,501567,105504,tt1535109,109424.0
tt1408101,Star Trek Into Darkness,501168,102445,tt1408101,54138.0
tt9419884,Doctor Strange in the Multiverse of Madness,500286,272525,tt9419884,453395.0
tt1596363,The Big Short,499546,148626,tt1596363,318846.0
tt1840309,Divergent,498841,108190,tt1840309,157350.0
tt1723121,We're the Millers,497984,104211,tt1723121,138832.0
tt0367882,Indiana Jones and the Kingdom of the Crystal Skull,497968,59615,tt0367882,217.0
tt1099212,Twilight,497814,63992,tt1099212,8966.0
tt0327056,Mystic River,496235,6870,tt0327056,322.0
tt0372183,The Bourne Supremacy,494891,8665,tt0372183,2502.0
tt2103281,Dawn of the Planet of the Apes,494310,112623,tt2103281,119450.0
tt3397884,Sicario,493611,139644,tt3397884,273481.0
tt0099088,Back to the Future Part III,492436,2012,tt0099088,196.0
tt2980516,The Theory of Everything,489642,117176,tt2980516,266856.0
tt0319262,The Day After Tomorrow,489478,8361,tt0319262,435.0
tt0317219,Cars,488849,45517,tt0317219,920.0
tt1515091,Sherlock Holmes: A Game of Shadows,487937,91542,tt1515091,58574.0
tt0101414,Beauty and the Beast,487256,595,tt0101414,10020.0
tt0458352,The Devil Wears Prada,487212,45720,tt0458352,350.0
tt0139654,Training Day,486185,4776,tt0139654,2034.0
tt0974015,Justice League,486014,122898,tt0974015,141052.0
tt0084787,The Thing,485625,2288,tt0084787,1091.0
tt0407304,War of the Worlds,484089,34048,tt0407304,74.0
tt0217505,Gangs of New York,481831,5956,tt0217505,3131.0
tt0387564,Saw,481683,8957,tt0387564,176.0
tt0325710,The Last Samurai,481417,7143,tt0325710,616.0
tt0117060,Mission: Impossible,480644,648,tt0117060,954.0
tt0887912,The Hurt Locker,479984,69481,tt0887912,12162.0
tt0103639,Aladdin,479963,588,tt0103639,812.0
tt0830515,Quantum of Solace,478648,63113,tt0830515,10764.0
tt0405422,The 40-Year-Old Virgin,478290,35836,tt0405422,6957.0
tt1535108,Elysium,477856,103253,tt1535108,68724.0
tt1210166,Moneyball,477213,89492,tt1210166,60308.0
tt1499658,Horrible Bosses,475396,87869,tt1499658,51540.0
tt0446029,Scott Pilgrim vs. the World,475284,79702,tt0446029,22538.0
tt2379713,Spectre,475132,136020,tt2379713,206647.0
tt0033467,Citizen Kane,474941,923,tt0033467,15.0
tt0120616,The Mummy,473993,2617,tt0120616,564.0
tt3385516,X-Men: Apocalypse,473172,122924,tt3385516,246655.0
tt0780536,In Bruges,471897,57669,tt0780536,8321.0
tt1772341,Wreck-It Ralph,471007,97913,tt1772341,82690.0
tt12593682,Bullet Train,470410,273891,tt12593682,718930.0
tt0070047,The Exorcist,469016,1997,tt0070047,9552.0
tt0347149,Howl's Moving Castle,468929,31658,tt0347149,4935.0
tt0093773,Predator,468693,3527,tt0093773,106.0
tt0382625,The Da Vinci Code,466845,45447,tt0382625,591.0
tt2283362,Jumanji: Welcome to the Jungle,466300,179401,tt2283362,353486.0
tt0319061,Big Fish,465060,7147,tt0319061,587.0
tt1355644,Passengers,464456,166635,tt1355644,274870.0
tt1259521,The Cabin in the Woods,464422,93840,tt1259521,22970.0
tt0765429,American Gangster,464335,55765,tt0765429,4982.0
tt0087332,Ghostbusters,463750,2716,tt0087332,620.0
tt5095030,Ant-Man and the Wasp,463222,188301,tt5095030,363088.0
tt11564570,Glass Onion,462444,278702,tt11564570,661374.0
tt3170832,Room,461040,140174,tt3170832,264644.0
tt0093779,The Princess Bride,459758,1197,tt0093779,2493.0
tt0942385,Tropic Thunder,459572,61132,tt0942385,7446.0
tt0120591,Armageddon,459524,1917,tt0120591,95.0
tt1637688,In Time,458968,90405,tt1637688,49530.0
tt0289043,28 Days Later,458840,6502,tt0289043,170.0
tt2382320,No Time to Die,457511,224280,tt2382320,370172.0
tt1605783,Midnight in Paris,456647,86882,tt1605783,59436.0
tt2584384,Jojo Rabbit,456189,205156,tt2584384,515001.0
tt5580390,The Shape of Water,454991,180031,tt5580390,399055.0
tt0092005,Stand by Me,454403,1259,tt0092005,235.0
tt0360717,King Kong,454327,41569,tt0360717,254.0
tt1217209,Brave,454041,95167,tt1217209,62177.0
tt0443453,Borat,453542,48385,tt0443453,496.0
tt0119567,The Lost World: Jurassic Park,452593,1544,tt0119567,330.0
tt0375679,Crash,452558,33166,tt0375679,1640.0
tt0377092,Mean Girls,451615,7451,tt0377092,10625.0
tt0217869,Unbreakable,451412,3994,tt0217869,9741.0
tt9376612,Shang-Chi and the Legend of the Ten Rings,451358,255335,tt9376612,566525.0
tt0831387,Godzilla,449578,111364,tt0831387,124905.0
tt1014759,Alice in Wonderland,449475,74789,tt1014759,12155.0
tt0351283,Madagascar,449438,33615,tt0351283,953.0
tt12361974,Zack Snyder's Justice League,448811,243642,tt12361974,791373.0
tt0088847,The Breakfast Club,448762,1968,tt0088847,2108.0
tt6264654,Free Guy,448516,226202,tt6264654,550988.0
tt0119698,Princess Mononoke,448412,3000,tt0119698,128.0
tt0091763,Platoon,448403,1090,tt0091763,792.0
tt1187043,3 Idiots,448086,73881,tt1187043,20453.0
tt0083866,E.T. the Extra-Terrestrial,447275,1097,tt0083866,601.0
tt0105695,Unforgiven,445705,1266,tt0105695,33.0
tt0315327,Bruce Almighty,444475,6373,tt0315327,310.0
tt0163651,American Pie,444371,2706,tt0163651,2105.0
tt1302006,The Irishman,443494,206857,tt1302006,398978.0
tt0119174,The Game,442907,1625,tt0119174,2649.0
tt0369339,Collateral,442388,8798,tt0369339,1538.0
tt6146586,John Wick: Chapter 3 - Parabellum,441436,200818,tt6146586,458156.0
tt1245492,This Is the End,440766,102123,tt1245492,109414.0
tt3480822,Black Widow,440699,242774,tt3480822,497698.0
tt0032138,The Wizard of Oz,440578,919,tt0032138,630.0
tt0086879,Amadeus,439834,1225,tt0086879,279.0
tt1399103,Transformers: Dark of the Moon,439030,87520,tt1399103,38356.0
tt0052357,Vertigo,437849,903,tt0052357,426.0
tt1690953,Despicable Me 2,437123,103335,tt1690953,93456.0
tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",436996,41566,tt0363771,411.0
tt1055369,Transformers: Revenge of the Fallen,435964,69526,tt1055369,8373.0
tt0110475,The Mask,435734,367,tt0110475,854.0
tt0455944,The Equalizer,434879,112171,tt0455944,156022.0
tt0099674,The Godfather Part III,432929,2023,tt0099674,242.0
